# CC|2012 GDP|IP Correlation|ASN Correlation
PH|250182019476.324|0.299577719371|0.807865464165
HR|59228247410.9818|0.771837626692|0.777098185971
PK|225143266331.151|0.630790473803|0.820809944007
HU|124600486886.062|0.584103344141|0.667141166358
PA|36252500000|0.481253343657|0.417374296673
PE|203790266509.653|0.803782322709|0.329327038513
PL|489795486644.151|0.513841477014|0.896830909055
PR|101495811266|0.367621098668|0.414047093105
HK|263259372904.956|0.275665507|0.684670251496
PT|212273977886.346|0.548368044766|-0.0275949057954
GT|50233749190.986|0.759108977479|0.165840357953
GR|249098684277.449|0.745458215616|-0.0520339394629
GE|15747288816.1881|0.862647383351|0.829136395318
GB|2471783570300.16|0.28459005817|0.772453890828
RO|192710684930.009|0.714571317753|0.816880981939
AT|394707863203.908|-0.0439738720527|0.668018067421
FR|2612878387760.35|0.379389747862|0.872301787848
NO|499667211001.289|0.232190739113|0.760972782213
NL|770555412702.494|0.0032302245828|0.811021204141
SV|23864400000|0.601674070147|-0.31729588101
NZ|167347054533.668|0.392735818529|0.83147225252
NP|18962962962.963|0.634977119061|0.63454593015
FI|247545641553.098|-0.0972893747204|0.503243370906
BM|5473536000|0.168466211315|0.30294101979
JP|5959718262199.13|0.0601487735749|0.0111152421016
JO|31015239496.4411|0.842219266446|0.439060772407
RS|37488935009.7878|0.614188841634|0.790407381666
AR|475501675472.598|0.752921957274|0.933148952888
AU|1532407884934.19|0.359517061621|0.885959672821
ZA|384312674445.534|0.769122135551|0.846979101286
AM|9950522732.78837|0.396595676708|0.862420996884
ZW|9802360203.02197|0.655431535712|0.823874607051
AE|0|0.525395287994|0.14380399909
IS|13578943166.6464|0.20220651694|0.4202969107
IR|0|-0.0881829202742|0.310173137849
IT|2014669579719.72|0.749936495517|0.24453731926
RU|2014774938341.85|0.939131538058|0.987919070464
IE|210771406835.948|0.388641712844|0.902897630118
ID|878043027881.581|0.624283608|0.643359890453
IN|1841709755679.17|0.657092777123|0.893740432545
IL|0|0.517809621411|0.322202732115
BY|63267017440.3121|0.720127741913|0.571977136534
TH|365965815820.015|0.628864210167|0.769958246556
TT|23320256742.6171|0.428333532671|-0.142147337902
TR|789257487307.029|0.676110836839|0.833758571366
DK|314887354337.505|0.21685483394|0.800584681394
CA|1821424139311.45|0.547852797418|0.80905884011
CH|631173029581.956|-0.0497982058704|0.597492166042
CL|269869337788.189|0.872596546347|0.106793575564
CO|369606330701.98|0.933453878616|0.200817161264
CN|8227102629831.48|0.564244886254|0.685911004393
CR|45103963693.4823|0.149327344768|0.861608341656
CU|0|0.168149352608|-0.0528026764072
CY|22766912960|0.616311309161|0.559687589255
SE|523805608856.089|0.0783965370402|0.831819182052
CZ|196446226535.564|0.582434296425|0.874761675601
KZ|203520610287.707|0.784045978039|0.853034274579
KR|1129598273324.48|0.393311576077|-0.258315547729
KW|0|0.389886227146|0.575030669452
KE|40697163224.2519|0.650370874688|0.820622372597
KG|6474843799.06064|0.741583547792|0.84507192842
BG|50972109856.598|0.629630214503|0.818545781542
BD|116355057337.05|0.52454552309|0.706237413904
BE|483261763949.601|0.245309720693|0.599173055764
BB|4224850000|0.410832976319|0.337296845498
BA|17465958605.6645|0.888843295253|0.235495357924
BO|27035110130.246|0.559919466151|0.272278725908
SA|711049600000|0.896715311002|0.716957284235
BR|2252664120777.39|0.9208717117|0.809965509643
SG|274701299733.694|0.283888903086|0.840366488737
SI|45279487179.8345|0.66629389162|0.87331141193
SK|91148717948.7179|0.554697984658|0.652820289444
VE|381286237847.667|0.510518110305|-0.139329999689
VN|155820001920.492|0.527094477674|0.510806186162
MO|43582271461.8341|0.197695554039|0.030988149487
MN|10271393281.3833|0.278639202811|0.681299916006
MK|9612518136.34871|0.548758833031|0.69279958486
MD|7252769934.44626|0.935145129378|0.747452184453
EG|262831912586.538|0.797944651536|0.198326975863
EE|22390242608.6398|0.134886265919|0.862004687917
MY|305032745224.598|0.493891947225|0.897699229986
MX|1178126184343.49|0.588333939546|-0.107110418036
MT|8721923076.92308|0.482190065499|0.207426062471
UA|176308825694.203|0.907354255163|0.893273307726
US|16244600000000|0.145686701115|0.658164028329
ES|1322964772435.07|0.0770524771485|0.526411538107
UY|49919727146.4227|0.345567754276|0.17429427209
LK|59423009404.3887|0.298004494217|0.334818513507
LB|42945273631.8408|0.460335933374|0.650148005632
DE|3428130624839.29|0.455487583375|0.0462010431425
LT|42343521965.7483|0.27131350888|0.401948298205
LU|55178452044.2273|0.285757773807|0.468747146188
LV|28372577696.5265|0.280282912706|0.862616992568
