# CC|RIR|2012 GDP|IP Correlation|ASN Correlation|1998 IPs|1998 ASNs
NL|ripencc|770555412702.494|0.0032302245828|0.811021204141|22623488|32
VE|lacnic|381286237847.667|0.510518110305|-0.139329999689|860672|21
PL|ripencc|489795486644.151|0.513841477014|0.896830909055|1646336|31
LU|ripencc|55178452044.2273|0.285757773807|0.468747146188|751104|5
LT|ripencc|42343521965.7483|0.27131350888|0.401948298205|231424|13
LV|ripencc|28372577696.5265|0.280282912706|0.862616992568|177408|11
LK|apnic|59423009404.3887|0.298004494217|0.334818513507|2048|0
LB|ripencc|42945273631.8408|0.460335933374|0.650148005632|45056|1
VN|apnic|155820001920.492|0.527094477674|0.510806186162|16896|1
IT|ripencc|2014669579719.72|0.749936495517|0.24453731926|12234240|91
FI|ripencc|247545641553.098|-0.0972893747204|0.503243370906|6401792|23
AM|ripencc|9950522732.78837|0.396595676708|0.862420996884|16384|1
IR|ripencc|0|-0.0881829202742|0.310173137849|73984|1
IS|ripencc|13578943166.6464|0.20220651694|0.4202969107|213248|1
JO|ripencc|31015239496.4411|0.842219266446|0.439060772407|57344|5
AE|ripencc|0|0.525395287994|0.14380399909|133120|5
NZ|apnic|167347054533.668|0.392735818529|0.83147225252|2806272|22
ID|apnic|878043027881.581|0.624283608|0.643359890453|349184|13
IE|ripencc|210771406835.948|0.388641712844|0.902897630118|1014432|12
IN|apnic|1841709755679.17|0.657092777123|0.893740432545|490752|3
IL|ripencc|0|0.517809621411|0.322202732115|1861888|21
AU|apnic|1532407884934.19|0.359517061621|0.885959672821|18508032|127
AR|lacnic|475501675472.598|0.752921957274|0.933148952888|1265664|61
EG|afrinic|262831912586.538|0.797944651536|0.198326975863|82432|2
GR|ripencc|249098684277.449|0.745458215616|-0.0520339394629|1162240|27
PH|apnic|250182019476.324|0.299577719371|0.807865464165|157952|12
GT|lacnic|50233749190.986|0.759108977479|0.165840357953|75008|4
GB|ripencc|2471783570300.16|0.28459005817|0.772453890828|60821880|142
GE|ripencc|15747288816.1881|0.862647383351|0.829136395318|8192|0
JP|apnic|5959718262199.13|0.0601487735749|0.0111152421016|64891136|165
BO|lacnic|27035110130.246|0.559919466151|0.272278725908|132352|2
BM|arin|5473536000|0.168466211315|0.30294101979|39424|3
BB|arin|4224850000|0.410832976319|0.337296845498|21248|1
BA|ripencc|17465958605.6645|0.888843295253|0.235495357924|16384|1
BG|ripencc|50972109856.598|0.629630214503|0.818545781542|224000|17
BE|ripencc|483261763949.601|0.245309720693|0.599173055764|3015168|17
BD|apnic|116355057337.05|0.52454552309|0.706237413904|27648|0
BY|ripencc|63267017440.3121|0.720127741913|0.571977136534|24576|2
BR|lacnic|2252664120777.39|0.9208717117|0.809965509643|10290688|66
DE|ripencc|3428130624839.29|0.455487583375|0.0462010431425|46053256|158
DK|ripencc|314887354337.505|0.21685483394|0.800584681394|2437888|16
AT|ripencc|394707863203.908|-0.0439738720527|0.668018067421|3448320|36
TH|apnic|365965815820.015|0.628864210167|0.769958246556|1147904|26
TR|ripencc|789257487307.029|0.676110836839|0.833758571366|992512|29
MD|ripencc|7252769934.44626|0.935145129378|0.747452184453|32768|4
ES|ripencc|1322964772435.07|0.0770524771485|0.526411538107|3286016|20
NO|ripencc|499667211001.289|0.232190739113|0.760972782213|7628864|14
RU|ripencc|2014774938341.85|0.939131538058|0.987919070464|3195392|202
EE|ripencc|22390242608.6398|0.134886265919|0.862004687917|147456|6
HU|ripencc|124600486886.062|0.584103344141|0.667141166358|1154816|34
UA|ripencc|176308825694.203|0.907354255163|0.893273307726|336128|32
HR|ripencc|59228247410.9818|0.771837626692|0.777098185971|214016|3
US|arin|16244600000000|0.145686701115|0.658164028329|1106001152|5162
UY|lacnic|49919727146.4227|0.345567754276|0.17429427209|131840|3
HK|apnic|263259372904.956|0.275665507|0.684670251496|1419008|59
ZA|afrinic|384312674445.534|0.769122135551|0.846979101286|9005312|43
ZW|afrinic|9802360203.02197|0.655431535712|0.823874607051|2304|1
MX|lacnic|1178126184343.49|0.588333939546|-0.107110418036|3751680|67
MY|apnic|305032745224.598|0.493891947225|0.897699229986|754688|1
RS|ripencc|37488935009.7878|0.614188841634|0.790407381666|191744|7
MT|ripencc|8721923076.92308|0.482190065499|0.207426062471|53504|2
MK|ripencc|9612518136.34871|0.548758833031|0.69279958486|33536|4
MN|apnic|10271393281.3833|0.278639202811|0.681299916006|10240|0
MO|apnic|43582271461.8341|0.197695554039|0.030988149487|76032|1
CU|lacnic|0|0.168149352608|-0.0528026764072|67328|1
KW|ripencc|0|0.389886227146|0.575030669452|253440|1
CR|lacnic|45103963693.4823|0.149327344768|0.861608341656|231168|2
CY|ripencc|22766912960|0.616311309161|0.559687589255|43008|5
CZ|ripencc|196446226535.564|0.582434296425|0.874761675601|1863168|20
CA|arin|1821424139311.45|0.547852797418|0.80905884011|37183232|455
CL|lacnic|269869337788.189|0.872596546347|0.106793575564|1662976|8
CN|apnic|8227102629831.48|0.564244886254|0.685911004393|5406720|43
CO|lacnic|369606330701.98|0.933453878616|0.200817161264|298240|23
CH|ripencc|631173029581.956|-0.0497982058704|0.597492166042|13588224|110
SE|ripencc|523805608856.089|0.0783965370402|0.831819182052|10333952|92
SG|apnic|274701299733.694|0.283888903086|0.840366488737|1154304|12
SA|ripencc|711049600000|0.896715311002|0.716957284235|194304|1
SI|ripencc|45279487179.8345|0.66629389162|0.87331141193|497920|6
SK|ripencc|91148717948.7179|0.554697984658|0.652820289444|848896|12
SV|lacnic|23864400000|0.601674070147|-0.31729588101|66304|1
NP|apnic|18962962962.963|0.634977119061|0.63454593015|11776|1
TT|lacnic|23320256742.6171|0.428333532671|-0.142147337902|29440|1
RO|ripencc|192710684930.009|0.714571317753|0.816880981939|328448|17
FR|ripencc|2612878387760.35|0.379389747862|0.872301787848|27821056|58
KG|ripencc|6474843799.06064|0.741583547792|0.84507192842|8192|1
KZ|ripencc|203520610287.707|0.784045978039|0.853034274579|57344|2
PT|ripencc|212273977886.346|0.548368044766|-0.0275949057954|823296|12
KR|apnic|1129598273324.48|0.393311576077|-0.258315547729|8320768|58
PR|arin|101495811266|0.367621098668|0.414047093105|264448|6
PK|apnic|225143266331.151|0.630790473803|0.820809944007|21248|2
PE|lacnic|203790266509.653|0.803782322709|0.329327038513|203776|3
KE|afrinic|40697163224.2519|0.650370874688|0.820622372597|16384|0
PA|lacnic|36252500000|0.481253343657|0.417374296673|119296|7
