# Country|Year|IPs|ASNs|Cumulative IPs|Cumulative ASNs|GDP 
LY|1993|0|0|0|0|30660051910.5037
LY|2012|3165|0|302173|2|0
LY|2002|0|0|0|0|19842519685.0394
LY|1994|0|0|0|0|28610549763.4685
LY|1997|0|0|0|0|30700897874.8704
LY|1992|0|0|0|0|33887047909.2746
LY|1996|0|0|0|0|27884615384.6154
LY|1991|0|0|0|0|31992732972.3568
LY|1990|0|0|0|0|28904898117.7385
LY|2008|0|0|286720|0|93167701863.354
LY|2009|8192|1|294912|1|62360446570.9729
LY|1999|0|0|0|0|30484399895.6472
LY|2010|4096|1|299008|2|0
LY|1998|0|0|0|0|27251534529.5892
LY|1995|0|0|0|0|25541379186.6458
LY|2003|0|0|0|0|24062500000
LY|2000|8192|0|8192|0|33896600870.7706
LY|2001|0|0|8192|0|28420321951.542
LY|2006|16384|0|24576|0|56484375000
LY|2007|262144|0|286720|0|71803278688.5246
LY|2004|0|0|0|0|33384615384.6154
LY|2005|0|0|0|0|44000000000
MO|1982|0|0|0|0|1021654718.38063
MO|1983|0|0|0|0|1016585687.26284
MO|1986|0|0|0|0|1376075267.86671
MO|1987|0|0|0|0|1786734514.03852
MO|1984|0|0|0|0|1182693473.21523
MO|1985|0|0|0|0|1222072820.96053
MO|1988|0|0|0|0|2087122775.99803
MO|1989|0|0|0|0|2478807840.95695
MO|2010|114688|0|324928|4|28359706123.0951
MO|2003|8192|0|108800|1|7926373572.23623
MO|2000|8192|0|92416|1|6101794938.88536
MO|2001|8192|0|100608|1|6514271488.1434
MO|2011|32|0|324960|4|36796998498.2098
MO|2005|17440|1|142656|2|11792570015.7933
MO|2006|32768|0|175424|2|14568709574.0036
MO|2002|0|0|100608|1|7008026414.60895
MO|2004|16416|0|125216|1|10258324479.1391
MO|2007|2048|1|177472|3|18054684854.2242
MO|2008|16384|0|193856|3|20731022857.2408
MO|2009|16384|1|210240|4|21313263933.1019
MO|1999|8192|0|84224|1|5916957024.96919
MO|1998|4096|0|76032|1|6186475687.55405
MO|2012|0|0|324960|4|43582271461.8341
MO|1995|2048|1|67840|1|6560672250.97816
MO|1994|0|0|0|0|5868546010.7157
MO|1997|0|0|71936|1|6674552884.69073
MO|1996|4096|0|71936|1|6628525682.86805
MO|1991|0|0|0|0|3464946372.23975
