Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,
Andorra,AND,1239840265.63345,1133644294.5425,1264760246.44075,1456198796.29382,1917948475.27513,2322163502.26295,2539759285.92747,2823503852.62328,3245411583.7197,3712034266.50674,,,,,
Afghanistan,AFG,,,2461666314.78366,4128818042.61749,4583648921.74369,5285461998.97866,6275076015.72254,7057597615.29559,9843851008.65578,10190534636.4958,12486950468.7364,15936784436.1811,17870159081.5143,20496777409.458,
Angola,AGO,6152922942.98032,9129594818.60749,8936079252.77131,12497346042.8261,14188949239.8095,19640862549.6511,28233699240.3249,41789494461.5461,60448890972.4218,84178086998.6708,75492417649.3276,82470894868.3337,104115863405.183,114147030253.231,
Albania,ALB,3434402453.41057,3686649387.03405,4091020249.36656,4449373455.56632,5652325081.59963,7464446950.02559,8376483740.48289,9132562332.43024,10704661570.5584,12968652890.9091,12118580597.0542,11858166294.8409,12959563902.4015,12648095824.4086,
Arab World,ARB,628182600846.002,723694306542.266,703915275298.082,713804289586.116,804100804249.573,946643582228.887,1158762407500.52,1396469740105.35,1631880343193.5,2073805224439.72,1807824851146.26,2103058392938.17,2555354699725.03,,
United Arab Emirates,ARE,84445475523.1267,104337375342.526,103311643522.893,109816204634.494,124346361618.639,147824374542.517,180617023539.137,222105928740.596,258150041410.76,314844665222.197,270334929437.512,287421927883.393,348594972517.105,,
Argentina,ARG,283523000000,284203750000,268696750000,102040286874.385,129597154256.313,153129509710.176,183193418481.532,214066154250.003,260768703249.434,326582808527.135,307155148184.324,368736062143.669,446044143596.268,475501675472.598,
Armenia,ARM,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900436758.50466,6384457744.44765,9206277478.95229,11662017844.8868,8648015304.9989,9260297329.12273,10142408118.3387,9950522732.78837,
American Samoa,ASM,,,,,,,,,,,,,,,
